Source,Target,Weight
33915,404107,0
33915,168855,0
33915,95897,0
33915,812906,0
33915,230055,0
33915,232528,0
33915,681621,1
33915,161801,0
33915,705633,0
33915,885583,0
33915,350041,0
33915,688322,0
33915,232313,0
33915,186558,2
33915,963545,0
33915,36690,1
33915,537116,0
33915,169510,0
33915,534037,2
33915,387004,0
33915,483952,0
33915,674127,0
33915,654899,0
33915,231864,2
33915,582681,0
33915,978671,0
33915,737188,0
33915,958644,0
33915,950726,0
33915,735924,0
33915,984677,0
33915,332286,0
33915,71271,0
33915,45557,0
33915,839311,0
33915,910960,0
33915,404025,1
33915,860721,0
33915,435584,0
33915,64928,0
33915,781581,0
33915,863314,0
33915,201814,0
33915,798084,0
33915,860864,0
33915,159638,1
33915,706776,0
33915,466921,0
33915,480206,0
33915,634411,1
33915,960093,0
33915,270077,0
33915,567232,0
33915,187685,0
33915,781037,1
33915,564618,0
33915,567008,0
33915,507385,0
33915,343352,0
33915,273154,0
33915,902153,1
33915,656142,1
33915,682988,0
33915,646179,0
33915,909273,0
33915,90750,0
33915,201869,0
33915,952279,0
33915,284683,0
33915,951752,0
33915,101515,0
33915,736652,3
33915,683648,0
33915,507267,0
33915,536208,0
33915,285244,0
33915,50601,0
33915,852463,0
33915,756028,1
33915,203832,0
33915,287904,0
33915,780677,0
33915,90187,1
33915,406510,0
33915,829995,0
33915,406999,0
33915,953985,0
33915,101822,0
33915,232434,0
33915,329259,0
33915,537354,1
33915,782714,0
33915,861238,1
33915,434549,0
33915,130993,0
33915,885028,0
33915,26500,1
33915,962774,0
33915,682112,0
33915,747325,0
33915,675594,0
33915,556454,0
33915,766859,0
33915,90528,0
33915,545885,0
33915,851461,0
33915,53568,0
33915,634191,0
33915,101538,0
33915,734346,0
33915,218180,0
33915,505694,0
33915,863416,1
33915,581982,0
33915,435540,0
33915,202776,0
33915,331801,0
33915,259731,0
33915,236741,0
33915,359736,0
33915,939415,1
33915,467757,0
33915,681522,0
33915,802638,1
33915,683067,0
33915,756507,0
33915,455633,0
33915,50621,1
33915,83264,0
33915,301721,1
33915,617891,0
33915,243544,0
33915,185145,0
33915,50671,1
33915,131310,0
33915,488064,0
33915,884607,0
33915,454790,0
33915,360977,0
33915,444717,0
33915,895851,0
33915,488287,0
33915,735502,0
33915,406576,0
33915,475434,1
33915,492011,0
33915,566905,0
33915,933855,0
33915,839954,0
33915,676488,0
33915,467172,1
33915,754722,0
33915,482695,0
33915,71689,0
33915,284959,0
33915,909193,0
33915,232215,2
33915,781429,0
33915,606346,1
33915,922327,0
33915,45123,0
33915,664545,0
33915,737508,0
33915,480009,0
33915,747562,0
33915,878712,0
33915,801021,0
33915,333614,0
33915,800830,1
33915,951046,0
33915,151223,2
33915,130216,0
33915,858893,0
33915,939852,0
33915,861257,1
33915,185046,0
33915,483022,0
33915,832998,0
33915,100913,0
33915,860820,2
33915,17647,0
33915,766748,0
33915,371453,1
33915,931453,0
33915,362471,0
33915,384189,0
33915,987133,0
33915,755213,0
33915,434217,1
33915,951947,0
33915,287210,0
33915,406981,0
33915,372336,0
33915,707349,0
33915,77020,0
33915,483705,0
33915,483553,0
33915,689639,1
33915,202490,0
33915,437314,0
33915,131618,4
33915,963428,0
33915,303115,1
33915,23821,0
33915,968982,0
33915,358068,0
33915,268275,0
33915,435043,0
33915,457312,0
33915,194344,0
33915,50719,0
33915,385448,0
33915,861515,0
33915,747190,0
33915,406400,0
33915,852856,0
33915,284189,0
33915,435199,0
33915,371210,0
33915,580152,0
33915,698961,1
33915,232627,0
33915,339474,0
33915,414309,0
33915,923487,0
33915,821069,0
33915,704580,0
33915,680956,1
33915,755673,0
33915,657034,0
33915,437019,0
33915,507624,1
33915,634485,0
33915,868323,2
33915,705786,0
33915,939781,1
33915,260140,0
33915,978970,0
33915,385149,0
33915,931106,0
33915,902793,0
33915,456650,0
33915,774341,0
33915,465398,0
33915,363301,1
33915,705834,0
33915,624810,1
33915,454177,0
33915,783129,0
33915,384087,1
33915,99364,0
33915,920186,0
33915,593694,0
33915,536420,0
33915,644889,0
33915,464228,1
33915,635292,0
33915,85562,1
33915,270472,0
33915,630853,0
33915,319226,0
33915,731770,1
33915,736559,0
33915,338018,0
33915,505196,0
33915,414221,0
33915,187759,0
33915,499879,0
33915,931772,1
33915,68960,0
33915,535966,0
33915,369759,0
33915,850330,0
33915,962446,0
33915,231455,2
33915,853396,0
33915,405033,0
33915,53983,0
33915,803982,0
33915,232400,0
33915,26354,0
33915,323828,0
33915,85254,0
33915,537134,1
33915,536100,0
33915,262448,0
33915,838126,1
33915,332182,0
33915,64731,0
33915,26254,1
33915,635133,0
33915,535357,0
33915,143411,0
33915,879987,0
33915,350906,0
33915,263851,0
33915,187828,1
33915,231494,0
33915,756138,0
33915,593448,0
33915,637936,0
33915,231722,0
33915,437332,0
33915,200728,0
33915,40152,0
33915,318471,0
33915,862986,0
33915,74714,0
33915,138637,0
33915,406110,0
33915,607940,0
33915,838716,1
33915,455460,0
33915,285565,1
33915,862864,0
33915,683261,0
33915,537040,0
33915,634540,0
33915,635800,0
33915,131660,0
33915,683050,1
33915,386592,0
33915,20031,3
33915,692058,0
33915,557679,0
33915,108338,1
33915,922269,0
33915,55564,0
33915,764444,0
33915,968581,1
33915,801488,1
33915,71472,0
33915,17361,0
33915,984423,0
33915,607091,0
33915,674544,0
33915,231802,1
33915,387746,1
33915,349995,0
33915,665092,0
33915,109782,0
33915,755916,0
33915,387891,0
33915,869295,0
33915,705781,0
33915,250649,0
33915,537016,0
33915,535181,0
33915,985506,0
33915,756163,0
33915,636108,0
33915,196950,0
33915,59161,0
33915,36369,0
33915,219507,0
33915,339248,0
33915,201356,0
33915,358072,0
33915,18665,0
33915,831088,0
33915,56042,0
33915,860982,0
33915,86278,1
33915,737414,1
33915,535632,1
33915,261470,1
33915,384988,0
33915,45083,0
33915,657291,0
33915,363823,0
33915,715374,0
33915,939877,1
33915,33295,0
33915,829879,0
33915,536895,0
33915,821479,0
33915,515450,0
33915,693722,0
33915,948002,0
33915,546755,0
33915,318640,0
33915,607636,0
33915,239986,1
33915,101393,1
33915,333308,0
33915,984363,0
33915,338469,0
33915,185400,0
33915,457142,0
33915,756068,2
33915,655810,0
33915,766774,0
33915,162061,0
33915,588116,0
33915,547933,5
33915,832318,0
33915,666220,1
33915,407353,0
33915,961560,1
33915,767833,0
33915,482272,0
33915,747491,0
33915,168717,0
33915,776093,0
33915,168909,0
33915,229150,0
33915,754082,0
33915,636627,0
33915,361031,3
33915,85310,0
33915,239602,0
33915,202651,0
33915,162764,0
33915,482484,0
33915,994946,0
33915,436563,0
33915,160411,1
33915,546644,2
33915,606262,0
33915,119366,0
33915,271501,0
33915,12182,0
33915,680986,0
33915,801898,0
33915,535725,0
33915,371820,0
33915,605781,1
33915,963787,1
33915,20945,0
33915,138998,0
33915,681371,0
33915,788335,0
33915,574084,1
33915,970498,0
33915,607962,0
33915,909576,0
33915,173028,0
33915,303199,0
33915,232016,0
33915,554794,0
33915,581019,0
33915,153165,0
33915,404983,0
33915,61180,0
33915,823531,0
33915,414856,1
33915,506347,0
33915,132630,0
33915,158340,0
33915,384002,0
33915,963685,0
33915,900405,0
33915,879545,0
33915,435846,2
33915,783880,0
33915,909182,0
33915,95469,0
33915,894239,0
33915,949620,0
33915,754832,0
33915,716902,0
33915,138129,0
33915,813416,0
33915,919611,0
33915,456039,2
33915,963975,2
33915,168298,0
33915,776758,0
33915,554427,0
33915,705000,0
33915,301847,0
33915,869262,0
33915,219936,0
33915,995791,1
33915,765308,0
33915,29656,0
33915,100192,1
33915,219912,0
33915,557648,4
33915,667448,0
33915,211587,0
33915,163448,2
33915,49823,0
33915,754420,0
33915,564749,0
33915,675701,1
33915,480855,0
33915,860675,1
