Source,Target,Weight
75,2871,1
75,1155,2
75,482,5
75,1810,1
75,2773,1
75,458,1
75,2129,1
75,584,3
75,1204,1
75,383,7
75,121,1
75,517,1
75,1299,1
75,719,1
75,361,10
75,705,1
75,2400,1
75,35,6
75,154,1
75,576,3
75,1819,1
75,391,1
75,756,2
75,932,2
75,588,3
75,472,3
75,99,14
75,579,1
75,86,6
75,165,6
75,1459,2
75,127,7
75,214,3
75,779,2
75,723,1
75,816,1
75,1348,1
75,524,1
75,867,1
75,484,4
75,928,1
75,1715,1
75,378,4
75,44,5
75,206,19
75,1595,1
75,1317,2
75,2027,1
75,512,1
75,596,1
75,2168,1
75,68,3
75,475,2
75,175,4
75,2766,1
75,82,3
75,814,1
75,682,1
75,106,13
75,1199,1
75,263,19
75,734,4
75,56,7
75,1173,1
75,1287,2
75,1145,1
75,2247,1
75,1297,2
75,2211,1
75,1509,1
75,427,1
75,735,1
75,799,1
75,2257,1
75,481,2
75,908,1
75,307,4
75,962,1
75,18,36
75,2520,1
75,468,8
75,600,2
75,750,1
75,177,1
75,2023,1
75,2930,1
75,2928,1
75,613,1
75,772,2
75,1973,1
75,237,3
75,1335,1
75,196,4
75,2321,1
75,1558,2
75,132,6
75,971,1
75,1653,1
75,62,10
75,358,5
75,1813,1
75,2137,1
75,1121,2
75,2258,1
75,142,12
75,365,8
75,2407,1
75,1673,1
75,333,7
75,954,1
75,489,2
75,1703,2
75,742,2
75,895,1
75,159,5
75,707,3
75,1974,1
75,1930,1
75,664,7
75,2303,1
75,258,4
75,1759,1
75,2053,1
75,2774,1
75,21,24
75,113,5
75,864,1
75,1967,1
75,2289,3
75,1278,1
75,2305,1
75,2028,1
75,740,1
75,2051,2
75,483,1
75,1177,1
75,1757,1
75,519,1
75,1312,1
75,1460,1
75,93,19
75,320,4
75,543,1
75,1345,1
75,60,34
75,479,3
75,573,1
75,1000,1
75,419,4
75,1432,1
75,882,3
75,1764,1
75,689,1
75,1464,1
75,464,5
75,1434,1
75,1826,1
75,469,4
75,1597,1
75,1970,1
75,253,2
75,736,1
75,2371,1
75,555,1
75,431,4
75,840,1
75,2458,1
75,2613,1
75,162,6
75,199,14
75,2079,1
75,1639,3
75,195,12
75,1640,1
75,665,1
75,998,1
75,1855,1
75,1671,1
75,2918,1
75,41,22
75,2030,1
75,631,1
75,646,11
75,325,1
75,1141,1
75,837,4
75,741,1
75,2718,1
75,933,2
75,1048,1
75,1527,1
75,2869,1
75,1531,1
75,141,3
75,922,2
75,1270,1
75,787,1
75,995,3
75,574,1
75,510,1
75,836,6
75,2259,1
75,514,1
75,2210,1
75,1109,1
75,1528,3
75,459,1
75,1691,1
75,1758,1
75,713,1
75,412,6
75,830,4
75,1013,1
75,2081,1
75,2653,1
75,1293,1
75,228,3
75,58,11
75,205,14
75,612,1
75,1421,4
75,191,4
75,1809,1
75,1014,1
75,941,1
75,147,17
75,1170,1
75,94,23
75,1700,1
75,611,2
75,775,4
75,1572,2
75,389,10
75,169,5
75,1765,2
75,1685,1
75,319,12
75,532,1
75,355,2
75,1362,1
75,961,1
75,745,1
75,1292,2
75,800,1
75,706,3
75,1686,1
75,460,2
75,2044,1
75,1397,4
75,801,1
75,831,5
