Id,Label
2871,Paulette
1155,Savage
2583,Bobby Darin
1210,Queens of the Stone Age
2808,Chrome Ghetto
963,New Radicals
1028,"Crosby, Stills & Nash"
1897,Mad Season
2805,I Only Came for the Ladies and the Drinks
959,P.O.S
2906,Dan Croll
1046,AC/DC
482,Nirvana
1810,Randy Travis
1741,Robert Randolph & The Family Band
2773,Massive Attack
2586,Pat Metheny Group
2752,Al Jarreau
2508,Explosions In The Sky
2473,Various Artists - *NSYNC Tribute
458,Daughtry
2129,Off The Record
116,Toto
2546,Dave Bowe feat. Gavin Glass feat. Donna Dunne
584,Bowling For Soup
2293,Westside Connection
1204,Big Time Rush
2188,Hugh Jackman
1864,Ben Folds Five
2153,San Cisco
2428,Classic Queen
2787,Steam
383,Sublime
1888,The Muppets
121,a-ha
757,The Lonely Forest
1034,Gary Allan
1307,Alberta Cross
2297,L.E.P. Bogus Boys
2484,Nobunny
1945,The Escape Club
517,The Fanatics
1299,B2K
1947,Alpine
2235,Edison Lighthouse
719,Twisted Sister
2441,The Cover Girl
361,Busta Rhymes
2887,Dennis Razze
2605,Matt White
705,John Mellencamp
2400,The Aranbee Pop Symphony Orchestra
35,Red Hot Chili Peppers
2237,Suzanne Vega
1536,Paula Abdul
154,Soul For Real
576,Aaron Carter
1819,MercyMe
391,Shwayze
2783,The Donnis Trio
2751,Carpenters
1117,deadmau5
1063,DEVO
1108,The Joy Formidable
756,Finger Eleven
2547,Airbourne
2230,Mavis Staples
409,Nathan Lane
1856,Nada Surf
2493,Dylan Summer
932,Bon Iver
2849,Megan & Liz
588,Disturbed
2195,The Decemberists
1105,Latin Boys
472,Kings of Leon
2663,Tower Of Power
99,Lupe Fiasco
2726,Ashley Tisdale
1710,Lya Cannes
1878,Superchunk
579,Nat King Cole
86,Queen
1641,B.B. King
165,The Band Perry
1459,Troop 41
215,Wheatus
127,Ciara
1622,Rebelution
2606,Bobby Brackins
1237,Glen Campbell
214,Jet
1825,The Alchemist
779,Cast Of Rent
723,Quiet Riot
816,Alison Krauss & Union Station
1348,Avenged Sevenfold
524,Marina and the Diamonds
867,Say Anything
1260,Divinyls
2117,Jim Croce
2324,Cocteau Twins
484,Whitney Houston
928,The Head and the Heart
1715,Smash Fitness Music
378,Ricky Martin
324,Bobby McFerrin
1082,White Rabbits
1395,Houses
1835,Emerson Drive
1958,Rodney Atkins
2757,Adventure Club
44,Of Monsters and Men
2330,Destroyer
1962,Craig Morgan
2467,Heartless Bastards
1611,Kavinsky
2225,Document One
1648,Johnny Vile
2451,Nicki French
2937,Paloma Faith
2410,Josh Kelley
2761,Make It Nasty
206,Ludacris
2011,Sebastian Ingrosso & Tommy Trash
1095,Various Cruelties
1595,Travis Mills
1107,Drew's Famous Party Singers
2823,Hans Zimmer
1317,Mandy Moore
1848,Woody Guthrie
1982,M. Keali'i Ho'omalu
2027,Chase Coy
512,G Curtis
596,Lit
2168,David Choi
2800,Patsy Cline
68,Luke Bryan
2561,Jarvis
