Source,Target
995488,233001
995488,339715
995488,300842
995488,986789
995488,197923
995488,385908
995488,588189
995488,506445
995488,811322
995488,682149
995488,680843
995488,886220
995488,871436
995488,536849
995488,820693
995488,33471
995488,130579
995488,158574
995488,99829
995488,657820
995488,238358
995488,802913
995488,372801
995488,284112
995488,930431
995488,169713
995488,995359
995488,284548
995488,118846
995488,201040
995488,474036
995488,580947
995488,574890
995488,949342
995488,251615
995488,168603
995488,131059
995488,476555
995488,405125
995488,920717
995488,11771
995488,583440
995488,850709
995488,480583
995488,370360
995488,342967
995488,149930
995488,482579
995488,681792
995488,606168
995488,101679
995488,170755
995488,783441
995488,952314
995488,952442
995488,637778
995488,109594
995488,360804
995488,85942
995488,29577
995488,169696
995488,860784
995488,61390
995488,56169
995488,426444
995488,902149
995488,706214
995488,567380
995488,506614
995488,790421
995488,850225
995488,821696
995488,995213
995488,122538
995488,271452
995488,735011
995488,567575
995488,131472
995488,808997
995488,637293
995488,580510
995488,436879
995488,689637
995488,173152
995488,859079
995488,50032
995488,574278
995488,930147
995488,656643
995488,169760
995488,506088
995488,456648
995488,838517
995488,829838
995488,657760
995488,268255
995488,56942
995488,213134
995488,296719
995488,23044
995488,162093
995488,707420
995488,208065
995488,978168
995488,243399
995488,352561
995488,782703
995488,263318
995488,87645
995488,887867
995488,789498
995488,605917
995488,80786
995488,74932
995488,758884
995488,909475
995488,939077
995488,810607
995488,861764
995488,853702
995488,302156
995488,959630
995488,766437
995488,203015
995488,930228
995488,23408
995488,352365
995488,681076
995488,20303
995488,68448
995488,637414
995488,498862
995488,656975
995488,505111
995488,829616
995488,384093
995488,25122
995488,333208
995488,959574
995488,851293
995488,978131
995488,566252
995488,263713
995488,263448
995488,64599
995488,348307
995488,606962
995488,665719
995488,303067
995488,197957
995488,690883
995488,141346
995488,505797
995488,87299
995488,319860
995488,851853
995488,656573
995488,588717
995488,109799
995488,350278
995488,909169
995488,95116
995488,387581
995488,581084
995488,208511
995488,682104
995488,599051
995488,259320
995488,644654
995488,851804
995488,330162
995488,775840
995488,736308
995488,833627
995488,852314
995488,699384
995488,908476
995488,444481
995488,301378
995488,683981
995488,369562
995488,896666
995488,194910
995488,681324
995488,466836
995488,952557
995488,162240
995488,515033
995488,284100
995488,506825
995488,801150
995488,952959
995488,169228
995488,252601
995488,39957
995488,187096
995488,195509
995488,736138
995488,735815
995488,118752
995488,208706
995488,272734
995488,100849
995488,338814
995488,800948
995488,4692
995488,644851
995488,627761
995488,302222
995488,930317
995488,755521
995488,269177
995488,714008
995488,465327
995488,698672
995488,187136
995488,378318
995488,755556
995488,285211
995488,913592
995488,902111
995488,53414
995488,534602
995488,102588
995488,852650
995488,85636
995488,581720
995488,387358
995488,29937
995488,789237
995488,232352
995488,260800
995488,100883
995488,118804
995488,447769
995488,688840
995488,405952
995488,912284
995488,757276
995488,59067
995488,871439
995488,606738
995488,961024
995488,504419
995488,567228
995488,776378
995488,546344
995488,457522
995488,716612
995488,108514
995488,604000
995488,606096
995488,309907
995488,565511
995488,40309
995488,304344
995488,211534
995488,195919
995488,405164
995488,426203
995488,203577
995488,407880
995488,655448
995488,86307
995488,798236
995488,734785
995488,221316
995488,168087
995488,838135
995488,480744
995488,997377
995488,791422
995488,108239
995488,688631
995488,634027
995488,995316
995488,159886
995488,680243
995488,444318
995488,385254
995488,218080
995488,171812
995488,455533
995488,465698
995488,445127
995488,296490
995488,130004
995488,358487
995488,363822
995488,547275
995488,350356
995488,580541
995488,297422
995488,894713
995488,598704
995488,133333
995488,605224
995488,360254
995488,80140
995488,854241
995488,833761
995488,735033
995488,140246
995488,151203
995488,886018
995488,962410
995488,544056
995488,692363
995488,286704
995488,352702
995488,829911
995488,258717
995488,77142
995488,143288
995488,406373
995488,434668
995488,163885
995488,822198
995488,555171
995488,407707
995488,614626
995488,735869
995488,677618
995488,950962
995488,239362
995488,339282
995488,480769
995488,40744
995488,681015
995488,338183
995488,961772
995488,25678
995488,221062
995488,162704
995488,220354
995488,387268
995488,223644
995488,102628
995488,55194
995488,896621
995488,886209
995488,379565
995488,995619
995488,869269
995488,782323
995488,583209
995488,17896
995488,45105
995488,210356
995488,187842
995488,684772
995488,830016
995488,822573
995488,168204
995488,950003
995488,839720
995488,358288
995488,860021
995488,446990
995488,17126
995488,287244
995488,168319
995488,966801
995488,555857
995488,102609
995488,404908
995488,582137
995488,339453
995488,918922
995488,606164
995488,862660
995488,33619
995488,754402
995488,692566
995488,133733
995488,884098
995488,200019
995488,499381
995488,86759
995488,71888
995488,386703
995488,100283
995488,607351
995488,698881
995488,897957
995488,95089
995488,506652
995488,765242
995488,12058
995488,294618
995488,111635
995488,809608
995488,350486
995488,261569
995488,230772
995488,756099
995488,467145
995488,319670
995488,333519
995488,24484
995488,923817
995488,168308
995488,707549
995488,949057
995488,537251
995488,415224
995488,131806
995488,172506
995488,950791
995488,783657
995488,77174
995488,35970
995488,50997
995488,481191
995488,102792
995488,625089
995488,593324
995488,273822
995488,476278
995488,499985
995488,339588
995488,913194
233001,339715
233001,300842
233001,986789
233001,197923
233001,385908
233001,588189
233001,506445
233001,811322
233001,682149
233001,680843
233001,886220
233001,871436
233001,536849
233001,820693
233001,33471
233001,130579
233001,158574
233001,99829
233001,657820
233001,238358
233001,802913
233001,372801
233001,284112
233001,930431
233001,169713
233001,995359
233001,284548
233001,118846
233001,201040
233001,474036
233001,580947
233001,574890
233001,949342
233001,251615
233001,168603
233001,131059
233001,476555
233001,405125
233001,920717
233001,11771
233001,583440
233001,850709
233001,480583
233001,370360
233001,342967
233001,149930
233001,482579
233001,681792
233001,606168
233001,101679
233001,170755
233001,783441
233001,952314
233001,952442
233001,637778
233001,109594
233001,360804
233001,85942
233001,29577
233001,169696
233001,860784
233001,61390
233001,56169
233001,426444
233001,902149
233001,706214
233001,567380
233001,506614
233001,790421
233001,850225
233001,821696
233001,995213
233001,122538
233001,271452
233001,735011
233001,567575
233001,131472
233001,808997
233001,637293
233001,580510
233001,436879
233001,689637
233001,173152
233001,859079
233001,50032
233001,574278
233001,930147
233001,656643
233001,169760
233001,506088
233001,456648
233001,838517
233001,829838
233001,657760
233001,268255
233001,56942
233001,213134
233001,296719
233001,23044
233001,162093
233001,707420
233001,208065
233001,978168
233001,243399
233001,352561
233001,782703
233001,263318
233001,87645
233001,887867
233001,789498
233001,605917
233001,80786
233001,74932
233001,758884
233001,909475
233001,939077
233001,810607
233001,861764
233001,853702
233001,302156
233001,959630
233001,766437
233001,203015
233001,930228
233001,23408
233001,352365
